Ranking,Company Name,Symbol,Market Cap,country,search_news
,,,,,0
1,Eli Lilly,LLY,$578.3B,U.S.,0
2,Novo Nordisk,NVO,$452.8B,Denmark,0
3,"Johnson &
Johnson",JNJ,$377.7B,U.S.,0
4,Merck,MRK,$263.9B,U.S.,0
5,AbbVie,ABBV,$261.2B,U.S.,0
6,Roche,ROG.SW,$222.4B,Switzerland,0
7,AstraZeneca,AZN,$212.2B,UK,0
8,Novartis,NVS,$201.1B,Switzerland,0
9,Pfizer,PFE,$181.3B,U.S.,0
10,Amgen,AMGN,$152.0B,U.S.,0
11,Sanofi,SNY,$138.5B,France,0
12,"Bristol-Myers
Squibb",BMY,$118.0B,U.S.,0
13,Gilead Sciences,GILD,$96.8B,U.S.,0
14,"Vertex
Pharmaceuticals",VRTX,$95.8B,U.S.,0
15,CVS Health,CVS,$91.9B,U.S.,0
16,"Regeneron
Pharmaceuticals",REGN,$91.1B,U.S.,0
17,Zoetis,ZTS,$80.3B,U.S.,0
18,GlaxoSmithKline,GSK,$76.6B,UK,0
19,CSL,CSL.AX,$73.3B,Australia,0
20,Merck KGaA,MRK.DE,$67.8B,Germany,0
21,Daiichi Sankyō,4568.T,$51.7B,Japan,0
22,"Chugai
Pharmaceutical",4519.T,$50.8B,Japan,0
23,"Takeda
Pharmaceutical",TAK,$47.2B,Japan,0
24,Bayer,BAYZF,$45.1B,Germany,0
25,Seagen,SGEN,$40.2B,U.S.,0
26,"Jiangsu Hengrui
Medicine",600276.SS,$38.6B,China,0
27,Biogen,BIIB,$38.0B,U.S.,0
28,Moderna,MRNA,$37.4B,U.S.,0
29,WuXi AppTec,2359.HK,$36.0B,China,0
30,Lonza,LONN.SW,$34.2B,Switzerland,0
31,"Sun
Pharmaceutical",SUNPHARMA.NS,$32.8B,India,0
32,Argenx,ARGX,$29.9B,Netherlands,0
33,"West
Pharmaceutical",WST,$28.4B,U.S.,0
34,WuXi Biologics,WXXWY,$26.7B,China,0
35,"Horizon
Therapeutics",HZNP,$26.6B,Ireland,0
36,BioNTech,BNTX,$24.8B,Germany,0
37,Astellas Pharma,4503.T,$22.9B,Japan,0
38,Genmab,GMAB,$21.1B,Denmark,0
39,"Alnylam
Pharmaceuticals",ALNY,$21.0B,U.S.,0
40,ICON plc,ICLR,$20.3B,Ireland,0
41,"Walgreens Boots
Alliance",WBA,$20.1B,U.S.,0
42,BeiGene,BGNE,$19.5B,China,0
43,"Otsuka
Holdings",4578.T,$18.4B,Japan,0
44,LabCorp,LH,$17.9B,U.S.,0
45,Royalty Pharma,RPRX,$16.8B,UK,0
46,"BioMarin
Pharmaceutical",BMRN,$16.2B,U.S.,0
47,Baxter,BAX,$16.1B,U.S.,0
48,UCB,UCB.VI,$16.0B,Belgium,0
49,Eisai,4523.T,$15.9B,Japan,0
50,Celltrion,068270.KS,$15.0B,South Korea,0
